time,seconds_elapsed,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,grav_x,grav_y,grav_z,fs_hz,activity
1783066706826062800,0.0,-0.4238767523633316,0.324087577214837,0.323907690603286,0.0739242509007453,-0.3805809617042541,-0.0715712308883667,-0.1395087161943316,-9.716539520964028,-1.3189979017361997,50,walking
1783066706845987000,0.0199242,-0.6735497611176222,0.106754739844799,0.2446282560527324,0.0390145145356655,-0.4626244604587555,-0.2067735940217971,-0.1238689105871599,-9.718426942145824,-1.306606183805317,50,walking
1783066706865912000,0.0398492,-0.3673626187851652,0.6081932726532221,0.1531996801555156,0.0593643151223659,-0.548895537853241,-0.2972094714641571,-0.0863386871459893,-9.72007646291852,-1.2973286523722112,50,walking
1783066706885837000,0.0597742,0.0101292437584605,0.7023486431658268,-0.1477057589143514,0.2083220332860946,-0.5631855726242065,-0.1920341551303863,-0.0517284245384391,-9.723700498634576,-1.27175684261173,50,walking
1783066706905761000,0.0796982,-0.383425791770406,0.2036404121041297,0.1906540892809629,0.3145196437835693,-0.239072173833847,-0.1267250776290893,-0.0325668608461739,-9.730468093073368,-1.2195623988635838,50,walking
1783066706925686300,0.0996235,-0.4160620234917849,0.4668640630334615,0.326925650184974,0.3143827319145202,-0.0412218160927295,-0.1193841770291328,-0.0113030653192952,-9.737959325611593,-1.1586112326860427,50,walking
1783066706945610200,0.1195474,-0.0107957927922368,0.8678969327628612,-0.0739846160780638,0.3931941986083984,-0.1637163162231445,-0.0170586053282022,0.0016679763092935,-9.745745741704106,-1.0912434774644673,50,walking
1783066706965535200,0.1394724,-0.0453925040817586,0.772407098776102,-0.0054331309646368,0.4159307181835174,-0.1433407962322235,0.0814575552940368,-0.0083274613125453,-9.754403679934144,-1.0109055468369277,50,walking
1783066706985459200,0.1593964,-0.0942320524780079,0.5854892734140157,0.4439629337869584,0.415911465883255,0.0415147989988327,0.2227024585008621,-0.0383467959544854,-9.7624654058367,-0.929087899045646,50,walking
1783066707005384200,0.1793214,0.1796159596498124,0.1950228058844804,0.1072556020390242,0.2716684639453888,0.1144846826791763,0.3899458646774292,-0.0961182406839449,-9.768388950666784,-0.8600823134891689,50,walking
1783066707025308400,0.1992456,-0.0036490240268409,-0.0871896231532096,0.1495692146986723,0.0583970844745636,0.115984246134758,0.4908820688724518,-0.1825002646481618,-9.76988766479194,-0.8284750960219651,50,walking
1783066707045233200,0.2191704,-0.0061946533890441,-0.1011427451819181,0.1448323223698884,-0.1473492085933685,0.1263990104198455,0.4913568496704101,-0.2760217759703285,-9.766857503315803,-0.8382526128664612,50,walking
1783066707065157000,0.2390942,0.2045714824091642,-0.149131407803297,-0.1832989772778004,-0.3253819942474365,0.1536849439144134,0.5466747879981995,-0.3739612133326008,-9.759421215835212,-0.8855623533129692,50,walking
1783066707085082400,0.2590196,0.8211199840188026,-0.3761895203739404,-0.6137076521605253,-0.4555371105670929,0.111842967569828,0.639995813369751,-0.486081608396396,-9.747093649181725,-0.9634729837283492,50,walking
1783066707105006300,0.2789435,0.8848069318357854,-0.8325298513054847,-0.7197329086869955,-0.4428634345531463,0.2410669922828674,0.7468233108520508,-0.618451777947694,-9.73008873836696,-1.0551183441814034,50,walking
1783066707124931300,0.2988685,0.9708377403426914,-0.6836246534734964,-1.0850454265419394,-0.2422840148210525,0.0914751067757606,0.6447446346282959,-0.7525165495224296,-9.71259575177431,-1.12674792156592,50,walking
1783066707144855300,0.3187925,0.9606060499899088,-0.5080512289464474,-1.3846546152561905,-0.0598657727241516,0.0326976776123046,0.5476081371307373,-0.8643887785114347,-9.700226099544762,-1.1527505970243364,50,walking
1783066707164780300,0.3387175,0.7606647846646607,-0.8259984037101268,-0.7171169540349394,-0.0947825908660888,0.204724833369255,0.5161572694778442,-0.965069532204792,-9.688735568237304,-1.1693640973687172,50,walking
1783066707184704300,0.3586415,1.0229442866116762,-0.6712719523787498,-0.6798400203682482,-0.1318793892860412,0.2159583121538162,0.4758221507072449,-1.0543684756621718,-9.676169516652822,-1.1960169803641736,50,walking
1783066707204629200,0.3785664,1.3729767446830867,-0.6467594424128532,-0.4886749128252267,-0.1940072029829025,0.1884300112724304,0.4703035354614258,-1.1413377340629696,-9.66177449607551,-1.232008185069263,50,walking
1783066707224553500,0.3984907,1.3361506965890526,-0.3882411926954984,-0.4187881605200469,-0.2355845272541046,0.0125090535730123,0.3388371765613556,-1.2186852507028727,-9.646604983994363,-1.276007193532586,50,walking
1783066707244478200,0.4184154,0.9741159582957624,-0.1182850186407566,-0.1138613569796085,-0.3183043599128723,0.0673521980643272,0.1944605112075805,-1.2680043582104146,-9.63329834317565,-1.3274481885649263,50,walking
1783066707264402200,0.4383394,0.8951254236891866,0.1093997013956308,0.3535112400978803,-0.4320577979087829,0.2315093129873275,0.1451889276504516,-1.2946581179887056,-9.618719782724977,-1.4051641731910407,50,walking
1783066707284327200,0.4582644,1.3974351863741874,0.4949485862672328,0.1318617085725069,-0.3761082589626312,0.1553778648376464,0.1218729019165039,-1.3148352290987968,-9.603090836438536,-1.4907207883149385,50,walking
1783066707304251100,0.4781883,1.5376958899796007,0.9030962564378976,0.0414151294499635,-0.2764232456684112,0.0668635740876197,0.0710488557815551,-1.3291010703384876,-9.59075625552237,-1.5560469547063112,50,walking
1783066707324176400,0.4981136,1.553537017711997,1.2378776616245508,0.367477952260524,-0.1385504454374313,0.0005766925169155,0.0062551754526793,-1.3362632170528173,-9.58316623878479,-1.5961518783405422,50,walking
1783066707344100400,0.5180376,1.485040696851909,1.177792318496108,0.3552437629789113,-0.0861788690090179,-0.0806218907237052,-0.0096671599894762,-1.335253309357911,-9.580243629336357,-1.6144437602259218,50,walking
1783066707364025300,0.5379625,1.4841785270646213,0.8529121295988559,0.599365384683758,-0.1008460521697998,-0.1008400022983551,0.0821832343935966,-1.3442669291578233,-9.576334931460025,-1.630068907120079,50,walking
1783066707383949300,0.5578865,1.6312169081114232,0.5841098017543555,0.4601531672179699,-0.0958753898739814,-0.1814276725053787,0.1438952088356018,-1.3712960981197655,-9.56984732300639,-1.6455825564637778,50,walking
1783066707403874000,0.5778112,1.6411698545880615,0.4558896645545959,0.5530944857656955,-0.1116373389959335,-0.2994201481342315,0.1728721261024475,-1.4090820772871375,-9.562235678958892,-1.6578692065849898,50,walking
1783066707423798300,0.5977355,1.658123619737476,0.2502770755946636,0.5780746132433414,-0.2334510535001754,-0.4328994452953338,0.2210696339607238,-1.4576093768298626,-9.551302197012305,-1.6788088265001773,50,walking
1783066707443723300,0.6176605,1.5658536245800554,-0.2209615492612123,0.6377108974300325,-0.3199376761913299,-0.429260641336441,0.304777055978775,-1.5224588656201958,-9.533915008881689,-1.719590772613138,50,walking
1783066707463647500,0.6375847,1.5369142380826175,-0.483821627575159,0.4320307961918413,-0.3404682278633117,-0.470230370759964,0.3511479794979095,-1.6012581154383718,-9.511819496929643,-1.7696410439394414,50,walking
1783066707483572200,0.6575094,1.3725387916572391,-0.6511684910267591,0.1992589821495115,-0.2897897362709045,-0.5551597476005554,0.2837655246257782,-1.681091238348931,-9.489920384332535,-1.8126511874958875,50,walking
1783066707503496200,0.6774334,1.0940345694877207,-0.928515359854698,0.2023690769940614,-0.236211895942688,-0.515540599822998,0.2045891731977462,-1.7461551005423068,-9.47219592707157,-1.8435940227702257,50,walking
1783066707523421200,0.6973584,1.2616937137588855,-1.1660831760019064,0.1023801780223846,-0.1802033931016922,-0.4659222364425659,0.2018478810787201,-1.8009874915786086,-9.457588140526411,-1.8657095545969904,50,walking
1783066707543345200,0.7172824,1.682277087132633,-1.3611878149509429,-0.1186360240355133,-0.153607964515686,-0.4542006552219391,0.2707691192626953,-1.8616919895187016,-9.443094920271635,-1.879474606707692,50,walking
1783066707563270400,0.7372076,1.7823783604376018,-1.4847826304376124,-0.2201893958449363,-0.2173517048358917,-0.3610917627811432,0.3757990002632141,-1.937403210193664,-9.42439664954245,-1.896733784544468,50,walking
1783066707583194400,0.7571316,1.5683502637013793,-1.8008493982821705,-0.2492930329933762,-0.3099645674228668,-0.2512932121753692,0.5237213969230652,-2.033274006322026,-9.396231462287902,-1.9357146725848315,50,walking
1783066707603119400,0.7770566,1.052517587098479,-2.304017531362176,-0.5356693037122487,-0.2924970090389251,-0.2959823310375213,0.4337461590766907,-2.138138256245106,-9.36277752097547,-1.984227943602204,50,walking
1783066707623043300,0.7969805,0.3216716021142899,-2.4377257445842027,-0.6179299460306763,-0.1397930085659027,-0.2583355605602264,0.1322686225175857,-2.202915410451591,-9.342044529548287,-2.010903184559941,50,walking
1783066707642968000,0.8169052,-0.1306213531225919,-3.15831322427392,-0.4504842983797192,0.0029825561214238,0.0700818002223968,-0.0668201148509979,-2.2107585251674053,-9.338223509955403,-2.020032831954956,50,walking
1783066707662892300,0.8368295,0.0472239618591964,-3.468062479534745,-0.8636451205372809,0.4078919589519501,0.1414206326007843,-0.3427150249481201,-2.170132354138046,-9.353785236224532,-1.9918892720103265,50,walking
1783066707682817300,0.8567545,0.1329676239877939,-2.810273109063506,-1.2745941118642687,0.8009032607078552,0.0962299779057502,-0.7432876229286194,-2.064490105579793,-9.400904130274055,-1.879168317237496,50,walking
1783066707702741200,0.8766784,-0.5545141433052718,-1.712043572103977,-0.4484405175924301,0.866375207901001,0.2968730032444,-1.0498851537704468,-1.8871229295037688,-9.467680495473742,-1.7239986521832644,50,walking
1783066707722666200,0.8966034,-0.7197725100450217,-1.3200707916647194,0.039856063439697,0.6253817677497864,0.4187333881855011,-1.0959705114364624,-1.6667977784499526,-9.531799039641022,-1.592795115258545,50,walking
1783066707742591500,0.9165287,-0.8831468166038393,-1.607716936188936,0.0310924728780984,0.2653366327285766,0.4803612828254699,-0.9645487666130066,-1.456736539518088,-9.577993220061064,-1.519986484157294,50,walking
1783066707762515200,0.9364524,-1.8701551358290016,-1.4697972427517174,0.0577430177859961,-0.0543767921626567,0.5780125856399536,-1.0446237325668335,-1.2527819468982515,-9.607127544608712,-1.517906755273789,50,walking
1783066707782440200,0.9563774,-2.8078140254735944,-0.1114233161777257,0.1732460044927894,-0.0094367954879999,0.6869196891784668,-1.278216004371643,-1.010339218191057,-9.631480480098723,-1.5440759464055298,50,walking
