time,seconds_elapsed,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,grav_x,grav_y,grav_z,fs_hz,activity
1783067231274225700,0.0,-4.02641766230762,-6.854984552952647,-11.420070700788497,2.069780111312866,-1.5900168418884275,-0.3816598057746887,-1.0724836127411574,-7.567835885432362,-6.143941731199622,50,jumping
1783067231294149600,0.0199239,-1.9161919337302444,-6.086296182438731,-8.385741583579778,2.671656370162964,-1.856499433517456,-0.3887501358985901,-1.2121319566018878,-7.859179715430736,-5.738851695033907,50,jumping
1783067231314072600,0.0398469,-2.9033731253042814,-1.2674182288855314,-4.422432996135949,2.6145801544189453,-2.4423511028289795,-0.6115671992301941,-1.3738679944343863,-8.166334278023243,-5.252984240844845,50,jumping
1783067231333996800,0.0597711,-1.5798935481093823,4.082258791995049,-0.1271978084146976,2.03336763381958,-2.8334829807281494,-1.1571890115737915,-1.496805076664686,-8.426986617159843,-4.78705102892071,50,jumping
1783067231353920800,0.0796951,2.2074122834794223,3.6020430799573657,3.491110177645087,1.14090895652771,-2.849243402481079,-0.853775680065155,-1.5687589906327426,-8.607420925721526,-4.429637520687282,50,jumping
1783067231373843700,0.099618,3.92856051466763,3.7294682673871513,5.130758375623822,0.5579412579536438,-2.926095724105835,0.2823120951652527,-1.76749394890815,-8.686063085281848,-4.195073854792118,50,jumping
1783067231393768000,0.1195423,4.288220340523123,5.513750561749935,5.147475117146969,0.3987589478492737,-3.016777992248535,1.021259903907776,-2.1334388463824987,-8.695195070764422,-4.001549763032794,50,jumping
1783067231413691000,0.1394653,2.4271885684788224,6.842346020653843,4.439066151028872,0.0046920818276703,-2.438596248626709,0.6743687987327576,-2.515624392300844,-8.6712168138057,-3.827796247409284,50,jumping
1783067231433614800,0.1593891,1.1971700959220528,7.060780681785941,4.032640774606168,-1.0363709926605225,-1.729748010635376,-0.3320013582706451,-2.7052175743520257,-8.623894506138562,-3.805340962234139,50,jumping
1783067231453538600,0.1793129,3.5042683499038216,7.003982689765095,2.976291938781738,-1.6525084972381592,-1.472495675086975,-0.7499623894691467,-2.7183716549575325,-8.547793847754598,-3.964349328668416,50,jumping
1783067231473461500,0.1992358,6.219001940619945,6.461293278157711,0.84594813580513,-1.2540735006332395,-1.9004852771759035,-0.3292101621627807,-2.7577345280528065,-8.455363985860346,-4.131840276765823,50,jumping
1783067231493385700,0.21916,4.7129023813873525,6.34987931433022,-0.0260696762800216,-0.2236922085285186,-2.224379539489746,-0.0531748384237289,-2.90453223221153,-8.400065292486548,-4.144031942079961,50,jumping
1783067231513308700,0.239083,3.6575069007650014,6.093541331261396,-0.88514120529145,0.8610187768936157,-2.407110929489136,-0.3475619256496429,-3.0628467711627483,-8.437464172032476,-3.949499842321873,50,jumping
1783067231533232600,0.2590069,2.6514626032888886,5.99976122380197,-0.4415016582399606,1.740370273590088,-2.3642468452453613,-0.7018234133720398,-3.1534964716419576,-8.568739020627737,-3.578063653954864,50,jumping
1783067231553156600,0.2789309,2.128789559271932,6.1676452628701925,-0.2461392451375722,2.2295291423797607,-2.7217392921447754,-1.1033633947372437,-3.1648803277045485,-8.759518197593092,-3.069979691782593,50,jumping
1783067231573079800,0.2988541,3.163533004748821,5.7015539377748965,-0.1068134842947125,2.224823474884033,-2.90503191947937,-1.3286750316619873,-3.1033783957764505,-8.963053980278968,-2.490595749506354,50,jumping
1783067231593003800,0.3187781,2.71165345261842,4.357373956248164,0.7222185880228876,1.929245352745056,-2.22413182258606,-0.9996212720870972,-3.004793226122856,-9.127968648147585,-1.954932875534892,50,jumping
1783067231612926700,0.338701,2.260973923927545,3.6405274166524406,1.8233512990780172,1.6502516269683838,-1.0508288145065308,-0.7312999963760376,-2.9066598918899893,-9.239815742695331,-1.532156376031041,50,jumping
1783067231632850700,0.358625,2.0225158809423447,3.75509604511857,1.4167746776163577,1.3928874731063845,-0.6838113069534302,-0.5002537965774536,-2.8140988048315045,-9.31652781097591,-1.2056359456460923,50,jumping
1783067231652775000,0.3785493,0.9852224587216972,3.840336287769675,1.5335504607379435,1.01081383228302,-0.7194830775260925,-0.4996196329593658,-2.742416255150735,-9.368248061341047,-0.9409854767840355,50,jumping
1783067231672697900,0.3984722,-0.1974956257387995,3.590343874335289,2.287584867477417,0.5228135585784912,-0.5675908923149109,-0.689053475856781,-2.6423268184140323,-9.413341587042808,-0.759934351498261,50,jumping
1783067231692621800,0.4183961,-0.6229761235043406,2.7310633787482974,2.363538810867071,-0.1548421382904052,-0.7050836086273193,-0.8785366415977478,-2.5041505198672414,-9.456226789045331,-0.692386198208481,50,jumping
1783067231712544800,0.4383191,-1.490514452087879,1.5903098743140696,3.640415772971511,-0.7888455390930176,-0.2228808104991912,-1.0885902643203735,-2.325394081389904,-9.496711944168805,-0.7585454544231295,50,jumping
1783067231732468500,0.4582428,-2.481030633303523,-0.2982826893508434,3.429011156606674,-1.171491265296936,0.2207791954278946,-1.260614275932312,-2.104314458706974,-9.53096258881688,-0.9502644695218652,50,jumping
1783067231752392700,0.478167,-3.1182752283960578,-1.123893555048108,2.541745506507158,-1.1756433248519895,0.0818625837564468,-1.5479419231414795,-1.8332330800145864,-9.560081715795397,-1.1893210629221052,50,jumping
1783067231772315600,0.4980899,-2.6638787250086664,-2.620634918826818,1.384937669981271,-0.6082139015197754,-0.4435093998908996,-1.638114094734192,-1.5283682357944548,-9.590690204548835,-1.3612946363262832,50,jumping
1783067231792239600,0.5180139,-2.643068868952989,-7.09129330894947,1.3983173760361969,0.1366907507181167,-0.7745203375816345,-1.3205641508102417,-1.2609757747478785,-9.625769701236486,-1.3873939770922064,50,jumping
1783067231812162600,0.5379369,-3.9107191530287264,-8.844263934725522,3.210563635993004,0.9009628295898438,-1.2330398559570312,-0.9869003891944884,-1.0620379143115133,-9.665908819401263,-1.2699136989630757,50,jumping
1783067231832086800,0.5578611,-4.532074689593911,-12.685906628918646,2.3752393316634,1.7737010717391968,-2.330413579940796,-0.6267579197883606,-0.945559360570833,-9.71244669869244,-0.9719378105390816,50,jumping
1783067231852010800,0.5777851,-4.933618431454897,-17.674671193534135,3.782314306911826,1.713998317718506,-2.7857120037078857,-0.0634554252028465,-0.9155657157801091,-9.747468327713012,-0.5648063682062551,50,jumping
1783067231871933700,0.597708,-4.206405980667472,-19.64684688029289,5.593807848805189,0.5434837937355042,-2.282859563827514,0.7100370526313782,-1.002030020333454,-9.751106976476311,-0.286760447730869,50,jumping
1783067231891857700,0.617632,-2.6765935374140737,-18.409512239503854,1.7238620201915502,-0.1036742031574249,-2.7225403785705566,1.048152208328247,-1.1873491783272474,-9.73223510274589,-0.2102773111016489,50,jumping
1783067231911780900,0.6375552,-4.287474198330939,-14.890148027276991,-1.0546557681709527,0.279474526643753,-3.041855335235596,0.8153908848762512,-1.3923201814480126,-9.706533090734482,-0.1226927155477926,50,jumping
1783067231931704800,0.6574791,-4.093217992904783,-7.173580547013878,-2.584517311263084,0.7800136208534241,-3.116964101791382,0.0185822155326604,-1.4765928942412136,-9.69461644296944,0.0667151182654313,50,jumping
1783067231951628800,0.6774031,-0.2052314806878566,-2.397913958677649,-2.673303848218917,0.9171820878982544,-3.0482945442199707,-0.2640228867530823,-1.4238731114447116,-9.696994278016684,0.3335700566355138,50,jumping
1783067231971551700,0.697326,2.499150227361917,0.730119862666726,-2.765369552975893,0.6117156744003296,-2.556772470474243,0.2534383535385132,-1.39153253820166,-9.69116776382029,0.5615068882694467,50,jumping
1783067231991475500,0.7172498,2.4412648784957827,3.3133646697759627,-3.0746529442906376,0.5313190221786499,-1.9520844221115112,0.6335119605064392,-1.4570980663068591,-9.670417821258306,0.7281858989294618,50,jumping
1783067232011398700,0.737173,1.0863505908563733,3.997544619044661,-3.03067234826684,0.3295377194881439,-1.919135928153992,0.5104541778564453,-1.546037309606373,-9.644119596919415,0.8781351989869027,50,jumping
1783067232031322400,0.7570967,-0.44213703353405,4.564209365001321,-2.6178502565443518,-0.3530536890029907,-1.673358917236328,0.0105375908315181,-1.5645030867539345,-9.635876084709167,0.9341275006480516,50,jumping
1783067232051246600,0.7770209,0.6896709479004144,5.348461215350032,-3.939890302455425,-0.790420651435852,-1.1461330652236938,-0.2661480605602264,-1.5083379858091472,-9.65188789283335,0.8581039991535245,50,jumping
1783067232071169500,0.7969438,2.842261069476604,6.160905725482106,-4.910702835291624,-0.6537847518920898,-0.6033312082290649,-0.1305233985185623,-1.4513795425295828,-9.670656890711188,0.7364118754830211,50,jumping
1783067232091093500,0.8168678,3.827816121153533,5.897791964668035,-5.335618684911728,-0.2480568438768386,-0.3179103136062622,0.060071337968111,-1.4413956163927912,-9.677189507350326,0.6669257398679852,50,jumping
1783067232111016400,0.8367907,2.6368980713635684,6.26955256268382,-4.315308838456869,-0.5064636468887329,0.1146333813667297,-0.0090254405513405,-1.4514691205091774,-9.67934580860138,0.6114792720539495,50,jumping
1783067232130940700,0.856715,2.482144147503376,6.961856197175383,-3.966732716673613,-1.038461685180664,0.5143767595291138,-0.2212982922792434,-1.4315385315060614,-9.691246674275398,0.4481544671926647,50,jumping
1783067232150864600,0.8766389,3.330572409686446,7.840012658146024,-4.649707966327667,-0.9765973091125488,0.8007315397262573,-0.215798869729042,-1.3896229051880538,-9.705094582363962,0.2246248575417324,50,jumping
1783067232170787600,0.8965619,3.937703606066108,8.577193545240164,-4.180030599439144,-0.3091129958629608,1.259670376777649,-8.95067350938e-05,-1.3690243537954985,-9.710399118512868,0.0655956081496318,50,jumping
1783067232190711600,0.9164859,3.439867773924768,9.153292474496364,-2.963384526413679,0.6039005517959595,1.2969006299972534,-0.0462314188480377,-1.3736714489489792,-9.709794138357042,0.0574222750987624,50,jumping
1783067232210634800,0.9364091,2.2175870560131967,9.26329715604782,-0.4986439336538315,1.2835851907730105,1.2162444591522217,-0.4254959225654602,-1.3344259186230598,-9.713107792949677,0.2126859431459568,50,jumping
1783067232230558700,0.956333,2.105421104774624,8.747638959228992,1.235320378357172,1.4636353254318235,1.3331900835037231,-0.801427960395813,-1.2186685187637805,-9.71998293941617,0.4551355217190459,50,jumping
1783067232250482400,0.9762567,2.841078873954713,7.999916804376244,2.175922481846809,0.8758591413497925,1.53114914894104,-0.6777995824813843,-1.0834355801925062,-9.724040105852485,0.6630024289444089,50,jumping
1783067232270405600,0.9961799,2.7218220876723525,7.668058008638024,1.6716694761395454,-0.3315160870552063,1.724668264389038,-0.2286521941423416,-1.0153549274612217,-9.730064188447594,0.682130469392985,50,jumping
1783067232290329600,1.0161039,1.5527955516949294,7.022597373864055,0.8023965788483619,-1.095515251159668,2.055948495864868,0.2392833977937698,-1.042082336997613,-9.73866951970756,0.492716370235756,50,jumping
1783067232310252500,1.0360268,-0.2480725512877106,5.854288923028111,-0.3297030059438198,-1.067568063735962,2.118356227874756,0.1979418396949768,-1.1095896468203514,-9.74097838117182,0.2292966852776706,50,jumping
1783067232330176500,1.0559508,-1.050186148476228,4.199201163855195,-1.4609014041125774,-0.44087815284729,2.014911413192749,-0.2166156321763992,-1.115518671543151,-9.742973938903212,0.0210885633992031,50,jumping
1783067232350100500,1.0758748,0.6519376487683505,0.5019488204181194,-4.201324731880426,1.3215826749801636,1.3717494010925293,-0.4824239015579223,-1.038451652345061,-9.751348384016753,0.0566623738092835,50,jumping
1783067232370023400,1.0957977,0.462897716685757,-8.022334387889504,-2.569322080218792,2.166904926300049,0.6121025085449219,0.1941707879304886,-1.0039870726853608,-9.746232648438214,0.416336566116847,50,jumping
1783067232389947600,1.1157219,-6.17096943885684,-14.632661458694932,3.012485534191132,1.0242568254470823,0.5937129855155945,0.5905351638793945,-1.1020164350870996,-9.717269004282354,0.7284541944768279,50,jumping
1783067232409870600,1.1356449,-11.74343873155713,-20.168654247391224,2.6182325338602066,-0.3600717186927795,-0.0157881397753953,0.3596771955490112,-1.2009615240942686,-9.70140508019626,0.7815336043659598,50,jumping
1783067232429794600,1.1555689,-14.715338572859764,-22.361399269223213,2.855608042305708,-1.6730005741119385,0.3217279016971588,0.1567981392145156,-1.2471036090008911,-9.709529934462903,0.5832132182408124,50,jumping
1783067232449718500,1.1754928,-14.014416163104771,-20.497249072897432,-1.0482884981613605,-1.7840951681137085,0.7951160073280334,-0.0166213195770978,-1.2686707131646573,-9.722216397556664,0.1984966012085788,50,jumping
1783067232469641700,1.195416,-12.936359061080216,-16.48396854006052,-3.0985791788011787,-0.279228538274765,1.05935800075531,-0.6414241790771484,-1.2114279730509967,-9.731491590902207,-0.0298942372535704,50,jumping
1783067232489565700,1.21534,-9.91123850172162,-11.466883889889717,-0.0754202749043703,0.7366222143173218,1.641610860824585,-1.144601583480835,-1.0293655518308282,-9.752476511263849,-0.0001465240632186,50,jumping
1783067232509488600,1.2352629,-5.491616471353173,-5.883947563710809,3.0141198573946952,0.8785317540168762,1.3015265464782717,-1.1536800861358645,-0.8019916513092815,-9.772785724321007,0.1409893010077532,50,jumping
1783067232529412600,1.2551869,-0.62079045002833,-1.374531865170598,4.967912330722808,0.0640057697892189,0.6498947143554688,-0.8097208738327026,-0.6078839875083416,-9.784992294943333,0.2340896369089372,50,jumping
1783067232549336600,1.2751109,3.100967535242438,-0.0140741180598735,4.579681074899435,-1.2360854148864746,0.1086522489786148,0.0684826299548149,-0.5322887213632465,-9.791529003235697,0.1141518186930101,50,jumping
1783067232569259500,1.2950338,2.0325681961402298,2.9460201346367594,3.2446617204278705,-2.314795970916748,-0.3336896300315857,0.5821613669395447,-0.6107118313454091,-9.784757901665568,-0.2364971181757748,50,jumping
1783067232589183500,1.3149578,0.03004289075993,6.957520213797688,2.396447393256426,-2.8655483722686768,-0.1119180619716644,0.4902664124965668,-0.7192736206121743,-9.751254275992512,-0.7523787484869361,50,jumping
1783067232609106400,1.3348807,-1.0843158701583742,9.604104981917144,1.1838235614843666,-2.3210079669952397,-0.0524735897779464,0.16824971139431,-0.7870518563307821,-9.692689858821034,-1.265974313687533,50,jumping
1783067232629030700,1.354805,-0.1658434731513261,12.152404147851469,1.5232659442193806,-1.3912354707717896,0.2693212330341339,-0.0285461284220218,-0.7910890028923749,-9.638791095373032,-1.6242714728876948,50,jumping
1783067232648954600,1.3747289,2.021975052063912,13.760752367681263,1.1161081618689,-0.6550192832946777,0.1431097537279129,0.0864800065755844,-0.7862677202157676,-9.603671266674995,-1.8225471430882807,50,jumping
1783067232668877600,1.3946519,3.2037811362460253,14.642418298077583,1.285849080850184,-0.0407145991921424,-0.2475199103355407,0.2680085301399231,-0.8240942505892366,-9.5881077868402,-1.886643767684698,50,jumping
1783067232688801500,1.4145758,3.257919261407852,13.746090220600363,1.5355414884246883,0.5769571661949158,-0.5224393010139465,0.4470483660697937,-0.907561273022741,-9.592000702625512,-1.827634090963751,50,jumping
1783067232708724500,1.4344988,2.826799880972505,11.916039862275122,1.9152083295203743,0.7741009593009949,-0.6630853414535522,0.6159478425979614,-1.0298017512910067,-9.6069808296144,-1.6780325814306736,50,jumping
1783067232728648700,1.454423,2.54578922894001,10.425430717641117,1.412643276900053,0.6067844033241272,-0.6848120093345642,0.8621651530265808,-1.1899227551423013,-9.613347442036869,-1.5290616248860955,50,jumping
1783067232748572700,1.474347,2.076998143366724,8.023651315706967,0.0415109910398721,0.4652181267738342,-0.6844915151596069,1.1635363101959229,-1.4066218246534463,-9.602328035372494,-1.4096473099544644,50,jumping
1783067232768495600,1.4942699,0.9381915352165698,6.214775262835621,-0.1065454810082912,0.2768201231956482,-0.5018807053565979,1.2099370956420898,-1.6542074692070483,-9.575784896361828,-1.318453127335012,50,jumping
1783067232788419600,1.5141939,0.2352737138606608,5.071880654719472,-0.2905551638387143,0.1146361157298088,-0.3384542763233185,1.0429811477661133,-1.8823346723139285,-9.540358193671702,-1.268369099869579,50,jumping
1783067232808342800,1.5341171,0.2201378117881715,4.815931963229179,-0.7147492750555277,0.0780980885028839,-0.2512077093124389,0.8565394878387451,-2.067264538729191,-9.505574465060231,-1.241313335161656,50,jumping
1783067232828266500,1.5540408,-0.094088588886708,4.109792695608735,-0.522391888988018,0.111379787325859,-0.0563032254576683,0.8293498754501343,-2.229035355614126,-9.472505139151217,-1.2138535196974871,50,jumping
1783067232848190500,1.5739648,-0.2894523171633482,3.2519208977758884,0.2993026800483465,-0.1272942274808883,0.2377659678459167,0.8888776898384094,-2.3871155012875795,-9.433749584299326,-1.2150848150581122,50,jumping
1783067232868113400,1.5938877,-1.0651368301749229,2.469071899962425,0.9049078359045089,-0.5824183225631714,0.3933216035366058,0.9572995901107788,-2.553698686890304,-9.379336441588402,-1.2950129227757454,50,jumping
1783067232888037600,1.6138119,-1.976824097086489,2.670758839911222,1.717552690914273,-1.0335125923156738,0.5697306990623474,0.7882157564163208,-2.7068329005941747,-9.309580768316984,-1.4748406437464057,50,jumping
1783067232907960600,1.6337349,-1.0633075689211486,2.478708327835798,0.8849871837735176,-1.0354465246200562,0.5852391123771667,0.5034681558609009,-2.807816948083043,-9.239634540909528,-1.7075447993800044,50,jumping
1783067232927884500,1.6536588,1.0633376717984675,0.8909984068870543,-0.4669422428362071,-0.3439274132251739,0.5551573634147644,0.4754895567893982,-2.8694632569178937,-9.187804984951018,-1.876382193650305,50,jumping
1783067232947808500,1.6735828,1.4022893484070895,-4.412432995647192,-0.9017425037413836,0.8654131293296814,0.6959350109100342,0.7635950446128845,-2.963159193225205,-9.160146578174828,-1.8659546153992408,50,jumping
1783067232967731500,1.6935058,-1.2217612240821123,-6.374633816358447,1.333000854256004,1.808795928955078,0.687404990196228,0.4453449845314026,-3.054732438290119,-9.169870684331656,-1.659061485109478,50,jumping
1783067232987655200,1.7134295,-2.3387410542190072,-8.897599803593755,2.73577754778862,2.1221868991851807,-0.272307276725769,0.2322854250669479,-3.0969942476972934,-9.21273951972127,-1.3055414771832523,50,jumping
1783067233007579100,1.7333534,-1.748254703170061,-15.54077700459957,3.5245319702535864,1.9378782510757449,-0.4704677164554596,1.3058911561965942,-3.228990980826318,-9.216164817994832,-0.8979428922627121,50,jumping
1783067233027502000,1.7532763,-4.12667105743438,-23.34338201537132,3.581778290563822,1.3720343112945557,-0.3195946216583252,2.6312248706817627,-3.6034584997132417,-9.103289549443126,-0.5617919522885233,50,jumping
1783067233047426300,1.7732006,-11.98617079859972,-30.143522632980343,4.986622876411676,0.1807602643966674,-0.9979395866394044,2.701135873794556,-4.117528550557792,-8.892586943867801,-0.3717993956562131,50,jumping
1783067233067349200,1.7931235,-19.71350341850519,-26.97431041355133,4.861767247208952,-1.0279183387756348,-1.5991891622543335,0.1389269977807998,-4.407478588110208,-8.75421015431285,-0.3290948839828372,50,jumping
1783067233087273200,1.8130475,-14.275989708739518,-17.63237752768397,0.6580892302006482,-0.821578323841095,-0.9178606271743774,-2.8114378452301025,-4.1629552537366745,-8.869640368044376,-0.4119353720158338,50,jumping
1783067233107197000,1.8329713,-1.882449238604307,-7.725874237790704,-5.532824680054188,1.5779030323028564,-0.5609890818595886,-3.642232418060303,-3.554632509484887,-9.134392543715238,-0.3127685300167649,50,jumping
1783067233127120100,1.8528944,4.6740214465901255,-1.55405315054059,-5.7571174195647234,3.673524856567383,-0.9751217365264891,-2.399941682815552,-2.982967178761959,-9.338666577547787,0.2482092015457339,50,jumping
1783067233147044000,1.8728183,2.331211535497009,2.907325370061397,-0.3725241297341883,2.725471973419189,-1.4102598428726196,-1.4863855838775637,-2.6212089193224903,-9.400698378568888,0.9625449090979992,50,jumping
1783067233166967000,1.8927413,0.0720968295700848,7.136470421281457,2.7670073833107947,0.1423576474189758,-1.1909607648849487,-1.5363621711730957,-2.3109749492846428,-9.442087789055703,1.2949052246175703,50,jumping
1783067233186891000,1.9126653,2.7922809407770632,9.099097358450294,-0.2678897430442273,-1.1576755046844482,-0.7832018733024597,-1.1058135032653809,-2.0237427923887967,-9.518681783914566,1.212252879567817,50,jumping
1783067233206815200,1.9325895,5.252780827227235,10.389458071506024,-3.995302977597713,-0.8517566919326782,-0.4151563048362732,-0.1753862202167511,-1.891920685174316,-9.56749929857552,1.026642410477251,50,jumping
1783067233226738200,1.9525125,4.702080543121696,13.04672263907194,-4.329780431401729,0.1978619694709777,0.1129594445228576,-0.1756964772939682,-1.8710864253297448,-9.578122983920574,0.9638318071033803,50,jumping
1783067233246662100,1.9724364,5.247080569759011,12.540533696866037,-3.751842596280575,1.1561936140060425,0.3972901701927185,-0.4438097178936004,-1.812149521584064,-9.575765607139468,1.0914353467747568,50,jumping
1783067233266585000,1.9923593,6.5552645242750645,11.11256542506218,-2.9848762272536757,1.543254852294922,0.5173390507698059,-0.4266725182533264,-1.7373828882828355,-9.557831891041994,1.341556355024874,50,jumping
1783067233286509000,2.0122833,7.103010634750127,9.492139229425788,-2.0493186938025056,1.408781886100769,0.794375479221344,-0.1108171269297599,-1.7045349500395357,-9.52296340675652,1.605643490915745,50,jumping
1783067233306433300,2.0322076,6.567875584045052,8.706080037394166,-1.6916599786363542,1.0763834714889526,0.9530354738235474,0.1563858538866043,-1.740117573943734,-9.479408342668414,1.8119686120592056,50,jumping
1783067233326356200,2.0521305,5.19551463317275,7.666226117035746,-1.473694250190258,0.739141583442688,1.005828022956848,0.3551804721355438,-1.8283694195009768,-9.436139109784364,1.945950089264661,50,jumping
1783067233346280200,2.0720545,3.4163638564795256,7.231805356967449,-1.6986077519476412,0.6147298216819763,0.926264464855194,0.2398964613676071,-1.92881672976464,-9.397959308993816,2.0318506955206392,50,jumping
1783067233366203100,2.0919774,2.175672890999913,6.854961756598949,-1.9590122538030144,0.7097481489181519,0.8783972859382629,-0.026855856180191,-1.9836878453761335,-9.367078433039785,2.119723624762893,50,jumping
1783067233386127400,2.1119017,1.4011385709367692,6.168705585578084,-1.822431700015068,0.7578160166740417,1.0097485780715942,-0.1275318562984466,-2.00747014137134,-9.338628583624958,2.220468018276989,50,jumping
1783067233406051000,2.1318253,-0.1791710106275975,5.47308478936255,-1.2991735495865344,0.6717455983161926,1.1043848991394043,-0.1433761268854141,-2.0312758182421327,-9.310540553259848,2.314764112434536,50,jumping
1783067233425974000,2.1517483,-1.8851038447663184,5.254489384710788,-0.3965818816699087,0.3036620616912842,1.1731277704238892,-0.2614901959896087,-2.0470731068328023,-9.29545228972137,2.3610236131757496,50,jumping
1783067233445898000,2.1716723,-3.0949639109134672,5.419767625194788,-0.579407030890882,0.2705495655536651,1.0499392747879028,-0.4656588137149811,-2.0361098142698406,-9.29927272479236,2.355455896046013,50,jumping
1783067233465821000,2.1915953,-2.9384646046906706,5.343301056107879,-1.7474644295752046,0.9948230981826782,0.5580009818077087,-0.3557679355144501,-1.985510530758649,-9.289394304856655,2.4362466119423507,50,jumping
1783067233485745200,2.2115195,-2.611279061460495,2.040587544205785,-1.8428443734467028,1.2133541107177734,0.3562633097171783,0.5602438449859619,-2.0155157929219305,-9.226933464768528,2.6404130937471986,50,jumping
1783067233505669000,2.2314433,-5.211334718117118,-4.033396269148588,-0.3046779433459043,0.550597608089447,0.5488104820251465,1.8275487422943115,-2.262763729953766,-9.12603212712705,2.786715707865357,50,jumping
1783067233525592000,2.2513663,-11.0261789349854,-6.238378256741166,1.2749094614237546,0.3301578760147095,0.1705127507448196,2.02368712425232,-2.6572818109616634,-9.005351737782359,2.8306974729329344,50,jumping
1783067233545516000,2.2712903,-15.204133312672376,-9.039430532994864,1.952533705438673,0.8109865784645081,-0.5014869570732117,1.095831036567688,-2.9265576015368104,-8.885659190431237,2.941215072442591,50,jumping
1783067233565440300,2.2912146,-15.235516292929647,-13.83690738660097,3.971593600708246,1.0841476917266846,0.2215295135974884,0.5675840377807617,-3.0452614301115277,-8.779618736335635,3.132900258336961,50,jumping
1783067233585363200,2.3111375,-11.592308258891103,-22.225238402152065,2.287422370392084,0.6778051257133484,0.6327335238456726,0.9861962795257568,-3.2093945922136307,-8.675226049447058,3.257398452404141,50,jumping
1783067233605287200,2.3310615,-12.871205913168192,-23.22240235081911,4.378592393104732,0.15399731695652,0.827434778213501,0.441574215888977,-3.4051749384671446,-8.59115017440021,3.28135654335767,50,jumping
1783067233625210000,2.3509843,-11.956043371361494,-19.975362210822105,3.614893501441181,-0.1158528551459312,0.721217691898346,-1.1208758354187012,-3.3948294855415817,-8.61664409661889,3.2247420912101865,50,jumping
1783067233645134300,2.3709086,-6.870720466744899,-15.425198322308065,1.7983233869358897,0.2737734913825989,0.8074527978897095,-2.215317249298096,-3.1479657255217437,-8.726309755474329,3.1799694680258628,50,jumping
1783067233665058000,2.3908323,-1.2648258743047711,-8.45985252945125,0.9521288751542568,0.7394441366195679,0.9883805513381958,-2.505358457565308,-2.77583834002018,-8.836009316599368,3.223359112419188,50,jumping
1783067233684981000,2.4107553,3.32344007358849,-2.62865222106576,1.07524116782099,0.4017296135425567,1.2027844190597534,-1.9263036251068115,-2.446713499290496,-8.912448997679352,3.279064340767264,50,jumping
1783067233704905000,2.4306793,3.8775367221340535,1.6163462328463791,0.9517243860065936,-0.3294257521629333,0.9290775060653688,-1.0855923891067505,-2.2547169093593955,-8.981209814694523,3.2287013502299784,50,jumping
1783067233724828200,2.4506025,1.3818700991041957,5.482359398186206,1.2687772422790526,-0.6493005752563477,0.5760749578475952,-1.057895541191101,-2.1203315275281667,-9.057501027214526,3.1042323822572824,50,jumping
1783067233744752000,2.4705263,0.9544311607472598,10.240720631456377,1.2691039900153875,-0.786052942276001,0.3794342279434204,-1.2934973239898682,-1.931265291960537,-9.149860746482014,2.9530703454092144,50,jumping
1783067233764676000,2.4904503,2.443935412879288,13.541590561318396,-0.4718649400606751,-0.7825818061828613,-0.0046570124104619,-0.9470734000205994,-1.7280688242316244,-9.239208424451949,2.796634167550504,50,jumping
1783067233784599000,2.5103733,2.6083652198404077,15.083147802901268,-1.7268471734821795,-0.2929733097553253,-0.113626554608345,-0.3804253339767456,-1.6032494353860616,-9.291724209108947,2.695151815150678,50,jumping
1783067233804523300,2.5302976,2.229984326902032,15.378144310188292,-2.880230442386865,0.1807325184345245,-0.1819049566984176,-0.0717964470386505,-1.5631991645485162,-9.299116657447817,2.6931834376871584,50,jumping
1783067233824446200,2.5502205,1.6030195721529423,14.498001643836496,-4.106755812130868,0.5590936541557312,-0.5011714100837708,-0.0497379787266254,-1.53583243419528,-9.281037395399808,2.7701933198705317,50,jumping
1783067233844370200,2.5701445,1.5675741647623478,12.847274417960644,-4.438006120581925,0.9738245010375975,-0.5550635457038879,-0.064751036465168,-1.4933537671670316,-9.238762434250116,2.930107402972877,50,jumping
1783067233864294100,2.5900684,1.4797254931785166,10.529074631989,-3.897328925579786,1.077466607093811,-0.3768583238124847,0.1042795181274414,-1.4677544848777353,-9.174704095837471,3.1370196763545275,50,jumping
1783067233884217000,2.6099913,1.2419555785879492,7.976604902371764,-3.642575873614848,0.8122844696044922,-0.2419040501117706,0.3501640856266022,-1.4864632770009338,-9.105321347531676,3.3247453109681606,50,jumping
1783067233904141300,2.6299156,1.0939330088093877,6.430417662900686,-3.228089063550532,0.2534436881542206,-0.1398388594388961,0.6467231512069702,-1.565740811855346,-9.054165745311977,3.4265094029188155,50,jumping
1783067233924064300,2.6498386,0.9343409972682596,5.593091809490323,-3.0345524045705794,-0.2699247300624847,-0.2250143438577652,0.6892268657684326,-1.6784889468960462,-9.033111266845465,3.4286984373956915,50,jumping
