time,seconds_elapsed,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,grav_x,grav_y,grav_z,fs_hz,activity
1783066689436450800,0.0,0.2456651978850364,0.6786655697613954,-0.3404927685707807,0.0305442195385694,0.1305272728204727,0.1020338833332061,-1.4677555077910422,-9.238385417631267,-2.9442022715598344,50,walking
1783066689456374800,0.019924,0.3312343802295625,0.4089455425500869,-0.9987082554996012,0.0092715453356504,-0.0170260369777679,0.1703757494688034,-1.4901776213489473,-9.235020325112345,-2.943494123290479,50,walking
1783066689476299800,0.039849,-0.0994280502185225,0.3251069833904504,-0.9535629996106028,0.0429336540400981,-0.0355828069150447,0.1772875338792801,-1.5251872676707805,-9.230937439712882,-2.9383611443161963,50,walking
1783066689496224000,0.0597732,-0.2428368425913155,0.1319482178121805,-1.1628571996927262,0.0796455666422844,-0.0578745938837528,0.1611816436052322,-1.5595480946950613,-9.229315391469,-2.9253914803668857,50,walking
1783066689516148700,0.0796979,-0.5634017986379564,0.1385129831552505,-0.9633218848198652,0.1172158047556877,0.0403479114174842,0.0950673669576644,-1.5841969443917274,-9.231241975617408,-2.906007565461099,50,walking
1783066689536074000,0.0996232,-0.4894936818622052,0.1844324382871389,-0.7588005982279777,0.0828569903969764,0.1422787308692932,0.0416453368961811,-1.5909180693402885,-9.23526290169656,-2.8895141112998126,50,walking
1783066689555998000,0.1195472,0.0589576542727649,0.1990472390949726,-0.71304773183465,0.0124998977407813,0.1130382940173149,0.0555834360420703,-1.5915459919802843,-9.236709593373536,-2.8845392454966903,50,walking
1783066689575922700,0.1394719,0.2651350375086069,0.108173958992958,-0.56101241928339,-0.0988836362957954,0.1291680485010147,0.0874910280108451,-1.5982565955348311,-9.232177210640907,-2.895317244620621,50,walking
1783066689595848000,0.1593972,0.2337643322110175,0.0446802687257528,-0.3710457277446985,-0.2127257287502288,0.195399209856987,0.0973867699503898,-1.6059411586880683,-9.21985958085954,-2.9301097410604355,50,walking
1783066689615771600,0.1793208,0.3253469296261668,0.0713841512560844,-0.5573880913063883,-0.2289895564317703,0.1758123189210891,0.0643696412444114,-1.6096864826962352,-9.203766524192693,-2.978248625807464,50,walking
1783066689635697000,0.1992462,0.490954402064532,0.1095996078819036,-0.6187608438968658,-0.1449175924062729,0.1390657573938369,0.0369362570345401,-1.6096451277725397,-9.19080650485456,-3.018031477880477,50,walking
