time,seconds_elapsed,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,grav_x,grav_y,grav_z,fs_hz,activity
1783087520854644500,0.0,0.1914002314731478,0.2573971367329359,0.600738864994049,-0.2816899120807647,-0.9630581736564636,-0.4742516875267029,0.0391913022209191,-8.211383964583277,-5.361159953403472,100,jumping
1783087520864607500,0.009963,0.2824103992952034,0.2417489012241363,0.546193035814166,-0.2244648933410644,-0.9838594198226928,-0.4166256189346313,0.0234488605064689,-8.197681017923355,-5.382181114122271,100,jumping
1783087520874570500,0.019926,0.2587400027092546,0.142676532575488,0.4868365914821624,-0.1595948189496994,-0.98871648311615,-0.3806439340114593,0.0029761602729427,-8.187343748304247,-5.39794274687767,100,jumping
1783087520884533800,0.0298893,0.1882942648144438,0.0623030191779136,0.5863666407704353,-0.1077337488532066,-0.9612440466880798,-0.3636820018291473,-0.0196527447426924,-8.180292660748957,-5.408587475010752,100,jumping
1783087520894496800,0.0398523,0.0566856633533257,-0.0638058249562978,0.7352911278247832,-0.0913134962320327,-0.8953071236610413,-0.3552323281764984,-0.0405248341133119,-8.175240638056398,-5.416105011034012,100,jumping
1783087520904459500,0.049815,-0.0178559107540641,-0.2334264785587787,0.909623027858138,-0.1318703591823578,-0.7962329983711243,-0.3398609161376953,-0.0581600193553604,-8.169474329614639,-5.424639030623435,100,jumping
1783087520914422500,0.059778,-0.0097237682301085,-0.3555529750585556,1.149013383257389,-0.1845229119062423,-0.7026686668395996,-0.303195595741272,-0.0721280101596377,-8.161220880532264,-5.4368789189934725,100,jumping
1783087520924385500,0.069741,0.0394219828713685,-0.4898591541737317,1.180315699493885,-0.2352284640073776,-0.6932921409606934,-0.2472430020570755,-0.0871563510712701,-8.150066449311375,-5.453366527935862,100,jumping
1783087520934348500,0.079704,0.1219365634182468,-0.5449737231522799,1.0807359658449889,-0.2786704897880554,-0.7845836877822876,-0.216904804110527,-0.108469233878795,-8.136103390410542,-5.473796737024188,100,jumping
1783087520944311600,0.0896671,0.0894760444568004,-0.5199830742806196,0.9612322190642356,-0.2797123789787292,-0.9290845990180968,-0.2385821938514709,-0.1372104217898566,-8.120989992430806,-5.495551472714543,100,jumping
1783087520954274600,0.0996301,0.0632180516635999,-0.4409001852154731,0.9177718475222588,-0.2658567428588867,-1.0542057752609253,-0.2994718849658966,-0.1700593372806906,-8.106399741542338,-5.516134826537966,100,jumping
1783087520964237600,0.1095931,0.065260444211401,-0.389569810950756,1.062311251360178,-0.2696369886398315,-1.0809059143066406,-0.3564939498901367,-0.2026277461965568,-8.092488120567799,-5.535428140550851,100,jumping
1783087520974200600,0.1195561,-0.016381043295376,-0.4196294336497783,1.328507196098566,-0.341885894536972,-1.0104352235794067,-0.3733320534229278,-0.2309699522521346,-8.076644070225953,-5.557415515953302,100,jumping
1783087520984163600,0.1295191,-0.0101759415775537,-0.496175497713685,1.5603788464307784,-0.5074161291122437,-0.8888100385665894,-0.3475102484226227,-0.2545329429408535,-8.054266818723082,-5.588772777247429,100,jumping
