time,seconds_elapsed,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,grav_x,grav_y,grav_z,fs_hz,activity
1783066193730242800,0.0,-0.0476008323475718,0.0295224470824003,0.084806015952304,0.0035048928111791,-0.0054454309865832,6.84350379742e-05,-1.2765421771921217,-9.697906716686486,-0.7010138143654913,50,standing
1783066193750168800,0.019926,-0.0867741742201149,0.1003752679407596,0.1484615457177162,-0.0284824017435312,-0.0032981890253722,0.0018661470385268,-1.276574179765582,-9.697682260280846,-0.704066333803907,50,standing
1783066193770095900,0.0398531,-0.0306118497543036,0.0956546691596507,0.0970061568338424,-0.0114760557189583,-0.0402813553810119,-0.0028581616934388,-1.2772209532365202,-9.697301152008771,-0.708126057523489,50,standing
1783066193790021600,0.0597788,-0.0956041080161929,0.0034831659406423,0.0408417865414172,-0.0065375408157706,-0.0177871100604534,-0.0154400393366813,-1.275824530442059,-9.697455465787648,-0.7085247014522552,50,standing
1783066193809948700,0.0797059,-0.121582452750951,0.0469195720851421,0.1422866564750671,-0.0201072208583354,-0.0006947995861992,-0.0123548852279782,-1.273039868159592,-9.697647188967466,-0.7109099160883575,50,standing
1783066193829874700,0.0996319,-0.054499067428708,0.0003144727766513,-0.0018068302262574,-0.0199794564396142,-0.0272520687431097,-0.0141621548682451,-1.27129039414376,-9.697580553472042,-0.7149572187177836,50,standing
1783066193849800700,0.1195579,-0.0973684873402118,0.0709083504378795,-0.0657377428669482,0.006354340352118,-0.0490681901574134,-0.0276282224804162,-1.2671769674755633,-9.698143448051807,-0.7146220684792846,50,standing
1783066193869727500,0.1394847,-0.0423762295670807,0.0668260495603084,-0.0263958394944667,0.0133993327617645,-0.0540806427597999,-0.0060423091053962,-1.264858023008704,-9.6986993283689,-0.7111680555678903,50,standing
1783066193889653800,0.159411,-0.0324403803557157,0.0664566317260265,0.0067423869322985,-0.0308960080146789,0.0062128859572112,0.0163312759250402,-1.266414458670467,-9.69848071718216,-0.7113859361022711,50,standing
1783066193909580800,0.179338,-0.0716164987072348,0.1336193658947944,0.1244020402163267,-0.0355686731636524,0.0109870135784149,0.0275897718966007,-1.2700345488637683,-9.697408119514584,-0.7195104250427335,50,standing
1783066193929506800,0.199264,0.0605026917576789,0.1746650775104761,-0.0994458050709217,0.0108620272949337,-0.044330921024084,0.0246496945619583,-1.2763079300448297,-9.696404495429991,-0.7219151480969042,50,standing
1783066193949432600,0.2191898,-0.1443755915783345,0.0872515824735164,-0.1098433535099029,0.0152025651186704,-0.0138995517045259,-0.0300135072320699,-1.276882222801447,-9.696679220718146,-0.7172039016660302,50,standing
1783066193969359600,0.2391168,-0.3386592695333063,-0.107411157926917,0.0862316648412495,-0.0312278531491756,0.024848761036992,-0.0702075138688087,-1.2665033059976991,-9.697891519117356,-0.7191986556798219,50,standing
1783066193989285600,0.2590428,-0.0750078947111964,-0.1207715747594833,0.0562456919003278,-0.0540500171482563,0.0331844240427017,-0.0516513213515281,-1.2534747514680027,-9.698896312245726,-0.7284181002501398,50,standing
1783066194009212700,0.2789699,0.242346282595396,0.0621317542642354,-0.0109206224650144,-0.000699906842783,-0.0177387651056051,0.0030021804850548,-1.248808951614052,-9.6989430739969,-0.7357706549700349,50,standing
1783066194029138700,0.2988959,0.2563638481624424,0.266568869704008,-0.1467686972599476,0.0659912377595901,-0.0663041695952415,-0.003053048858419,-1.250406303808093,-9.699423550990224,-0.7266662150815129,50,standing
1783066194049064700,0.3188219,-0.1247206046462059,0.1987690066754817,0.0665905603040009,0.012155313976109,0.0093397572636604,-0.0325888730585575,-1.2477552047774194,-9.70045698569119,-0.7173646451856941,50,standing
1783066194068991700,0.3387489,-0.2156688496805727,0.0742278502494096,0.1077758265208452,-0.0389087460935115,-0.0173622537404298,-0.0545732639729976,-1.238509529787302,-9.70146353238523,-0.7197934067025781,50,standing
1783066194088917800,0.358675,0.0147219144441187,-0.0439350033164024,0.1265670362304896,-0.0777715891599655,0.0133265648037195,-0.0078404545783996,-1.2320239671602844,-9.701364748185872,-0.7321504186462611,50,standing
1783066194108844800,0.378602,0.1640317475542426,0.1063163484275341,-0.0559960279881954,-0.0140762999653816,-0.0533117614686489,0.0074334656819701,-1.2333419178910552,-9.700480951088666,-0.7415723269861191,50,standing
1783066194128770800,0.398528,-0.0721929834209382,0.1785603313833475,-0.1325906804341823,0.055502250790596,-0.0412581451237201,-0.037399485707283,-1.2314498205341398,-9.701199328491091,-0.7353074944376945,50,standing
1783066194148696600,0.4184538,-0.2487269235432148,0.0805693282306194,0.0308136559367179,0.0218702498823404,0.0064514074474573,-0.0430615209043026,-1.2232582577068358,-9.702866384920478,-0.7269280078228563,50,standing
1783066194168623600,0.4383808,-0.0723744774676859,-0.0234428349077701,0.0459837525397539,-0.0401984490454196,-0.0146785834804177,-0.0161995701491832,-1.2175017400067298,-9.703450322288274,-0.7287798462346196,50,standing
